ticker,code,market,name,avg_value_krw,last_close,n_days
161390.KS,161390,KOSPI,한국타이어앤테크놀로지,25088972495,60400,24
161890.KS,161890,KOSPI,한국콜마,25060368904,91400,24
139480.KS,139480,KOSPI,이마트,24901405766,97500,24
064760.KQ,64760,KOSDAQ,티씨케이,24672105750,284500,24
078930.KS,78930,KOSPI,GS,24570013454,72000,24
017800.KS,17800,KOSPI,현대엘리베이터,23126818387,84600,24
357780.KQ,357780,KOSDAQ,솔브레인,22868923625,402500,24
241560.KS,241560,KOSPI,두산밥캣,22671970187,66500,24
023530.KS,23530,KOSPI,롯데쇼핑,22641134462,158600,24
000100.KS,100,KOSPI,유한양행,22590307433,82400,24
002380.KS,2380,KOSPI,KCC,22493547000,506000,24
298020.KS,298020,KOSPI,효성티앤씨,21064001708,418000,24
022100.KS,22100,KOSPI,포스코DX,20802155479,34200,24
323410.KS,323410,KOSPI,카카오뱅크,20728687410,21950,24
326030.KS,326030,KOSPI,SK바이오팜,20669063783,93100,24
001430.KS,1430,KOSPI,세아베스틸지주,20615189995,66200,24
192820.KS,192820,KOSPI,코스맥스,20005120458,178200,24
011780.KS,11780,KOSPI,금호석유화학,19486497387,140600,24
051900.KS,51900,KOSPI,LG생활건강,18802891479,258000,24
103140.KS,103140,KOSPI,풍산,18474178437,84200,24
005850.KS,5850,KOSPI,에스엘,16707774095,65500,24
032640.KS,32640,KOSPI,LG유플러스,16579283757,15570,24
001450.KS,1450,KOSPI,현대해상,16545263416,36950,24
097950.KS,97950,KOSPI,CJ제일제당,16066327854,221000,24
145020.KQ,145020,KOSDAQ,휴젤,16066042520,262000,24
007340.KS,7340,KOSPI,DN오토모티브,14661015462,46000,24
069960.KS,69960,KOSPI,현대백화점,14075791158,109800,24
271560.KS,271560,KOSPI,오리온,14002372545,133000,24
175330.KS,175330,KOSPI,JB금융지주,13506932204,24900,24
180640.KS,180640,KOSPI,한진칼,13157947087,108900,24
139130.KS,139130,KOSPI,iM금융지주,12942369608,17740,24
035900.KQ,35900,KOSDAQ,JYP Ent.,12410076716,61500,24
051600.KS,51600,KOSPI,한전KPS,12025433708,54500,24
251270.KS,251270,KOSPI,넷마블,11970698187,41950,24
006650.KS,6650,KOSPI,대한유화,11269274545,140000,24
035250.KS,35250,KOSPI,강원랜드,10889489470,15790,24
036460.KS,36460,KOSPI,한국가스공사,10802367368,36150,24
000210.KS,210,KOSPI,DL,10523605550,56000,24
034230.KS,34230,KOSPI,파라다이스,10076215648,14330,24
003030.KS,3030,KOSPI,세아제강지주,10013601587,171800,24
004370.KS,4370,KOSPI,농심,9336036395,396000,24
282330.KS,282330,KOSPI,BGF리테일,8617252754,135500,24
004990.KS,4990,KOSPI,롯데지주,8227584077,26550,24
383220.KS,383220,KOSPI,F&F,8139886533,81600,24
030000.KS,30000,KOSPI,제일기획,8128884496,19180,24
204270.KQ,204270,KOSDAQ,제이앤티씨,7805853122,20650,24
006280.KS,6280,KOSPI,녹십자,7769292091,133400,24
004000.KS,4000,KOSPI,롯데정밀화학,7682006383,53300,24
029780.KS,29780,KOSPI,삼성카드,7364375116,49000,24
111770.KS,111770,KOSPI,영원무역,6650316345,89600,24
361610.KS,361610,KOSPI,SK아이이테크놀로지,6637098081,20450,24
